InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
571475,22620,4 TRADITIONAL SPINNING TOPS,3,2011-10-17 14:42:00,1.45,15033.0,United Kingdom
567297,22784,LANTERN CREAM GAZEBO ,3,2011-09-19 12:27:00,4.95,15594.0,United Kingdom
575686,20725,LUNCH BAG RED RETROSPOT,10,2011-11-10 15:59:00,1.65,17716.0,United Kingdom
577782,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-11-21 16:17:00,8.5,16549.0,United Kingdom
569457,22303,COFFEE MUG APPLES DESIGN,5,2011-10-04 11:29:00,2.55,14606.0,United Kingdom
538156,84356,POMPOM CURTAIN,1,2010-12-09 16:53:00,6.95,15555.0,United Kingdom
550439,22675,FRENCH KITCHEN SIGN BLUE METAL,3,2011-04-18 12:17:00,1.25,18231.0,United Kingdom
580134,20668,DISCO BALL CHRISTMAS DECORATION,24,2011-12-01 19:24:00,0.12,13102.0,United Kingdom
549099,21524,DOORMAT SPOTTY HOME SWEET HOME,1,2011-04-06 11:07:00,7.95,16241.0,United Kingdom
547888,22966,GINGERBREAD MAN COOKIE CUTTER,24,2011-03-28 09:59:00,1.25,13368.0,United Kingdom
575972,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,2011-11-13 13:01:00,2.95,14499.0,United Kingdom
571713,21064,BOOM BOX SPEAKER BOYS,2,2011-10-18 16:58:00,4.13,,United Kingdom
566950,22386,JUMBO BAG PINK POLKADOT,10,2011-09-15 16:34:00,2.08,17594.0,United Kingdom
550796,48138,DOORMAT UNION FLAG,1,2011-04-20 14:38:00,7.95,17211.0,United Kingdom
567481,23206,LUNCH BAG APPLE DESIGN,1,2011-09-20 13:41:00,1.65,16777.0,United Kingdom
563095,21703,BAG 125g SWIRLY MARBLES,12,2011-08-12 09:04:00,0.42,13158.0,United Kingdom
571284,20726,LUNCH BAG WOODLAND,3,2011-10-16 14:07:00,1.65,14562.0,United Kingdom
575491,47566,PARTY BUNTING,2,2011-11-09 17:47:00,4.95,15531.0,United Kingdom
555500,23201,JUMBO BAG ALPHABET,2,2011-06-03 15:32:00,2.08,15508.0,United Kingdom
558367,82581,TOILET METAL SIGN,4,2011-06-28 15:31:00,0.55,16550.0,United Kingdom
575415,23313,VINTAGE CHRISTMAS BUNTING,50,2011-11-09 15:51:00,4.15,16168.0,United Kingdom
565541,23321,SMALL WHITE HEART OF WICKER,4,2011-09-05 12:00:00,1.65,14159.0,United Kingdom
548466,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,2011-03-31 12:19:00,4.15,16386.0,United Kingdom
575602,82552,WASHROOM METAL SIGN,1,2011-11-10 12:27:00,1.45,17059.0,United Kingdom
575491,21154,RED RETROSPOT OVEN GLOVE ,4,2011-11-09 17:47:00,1.25,15531.0,United Kingdom
554682,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2011-05-25 16:08:00,1.69,14085.0,United Kingdom
577822,22804,PINK HANGING HEART T-LIGHT HOLDER,320,2011-11-22 09:34:00,1.0,14607.0,United Kingdom
570718,22708,WRAP DOLLY GIRL,25,2011-10-12 10:36:00,0.42,12518.0,Germany
571082,35964,FOLKART CLIP ON STARS,1,2011-10-13 15:25:00,0.83,,United Kingdom
579472,23249,VINTAGE RED ENAMEL TRIM PLATE,1,2011-11-29 15:09:00,1.65,13521.0,United Kingdom
540370,22791,T-LIGHT GLASS FLUTED ANTIQUE,72,2011-01-06 16:25:00,1.06,13094.0,United Kingdom
547938,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-03-28 14:33:00,2.95,13901.0,United Kingdom
543826,22889,NUMBER TILE VINTAGE FONT No ,1,2011-02-14 09:41:00,4.13,,United Kingdom
579100,23552,BICYCLE PUNCTURE REPAIR KIT ,6,2011-11-28 11:27:00,2.08,13004.0,United Kingdom
555107,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-05-31 14:14:00,2.08,12594.0,Italy
580997,85152,HAND OVER THE CHOCOLATE   SIGN ,3,2011-12-06 17:23:00,2.1,15023.0,United Kingdom
571913,22505,MEMO BOARD COTTAGE DESIGN,4,2011-10-19 15:29:00,4.95,18210.0,United Kingdom
574323,85040A,S/4 PINK FLOWER CANDLES IN BOWL,4,2011-11-03 19:50:00,1.65,16438.0,United Kingdom
573361,20974,12 PENCILS SMALL TUBE SKULL,2,2011-10-30 12:53:00,0.65,14456.0,United Kingdom
562044,21209,MULTICOLOUR HONEYCOMB FAN,12,2011-08-02 10:24:00,0.39,16607.0,United Kingdom
574481,85227,SET OF 6 3D KIT CARDS FOR KIDS,2,2011-11-04 12:45:00,0.85,18022.0,United Kingdom
552821,22966,GINGERBREAD MAN COOKIE CUTTER,1,2011-05-11 12:58:00,1.25,18118.0,United Kingdom
556964,23238,SET OF 4 KNICK KNACK TINS LONDON ,6,2011-06-16 09:46:00,4.15,16145.0,United Kingdom
567656,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,2011-09-21 14:40:00,7.46,14096.0,United Kingdom
572884,23404,HOME SWEET HOME BLACKBOARD,6,2011-10-26 13:44:00,4.95,13924.0,United Kingdom
581429,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,2011-12-08 15:41:00,1.25,16322.0,United Kingdom
546569,22602,RETROSPOT WOODEN HEART DECORATION,12,2011-03-15 10:53:00,0.85,14016.0,EIRE
571283,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,6,2011-10-16 13:51:00,3.75,16533.0,United Kingdom
577324,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,12,2011-11-18 14:01:00,0.85,16463.0,United Kingdom
565415,21509,COWBOYS AND INDIANS BIRTHDAY CARD ,12,2011-09-04 12:00:00,0.42,14067.0,United Kingdom
556484,21531,RED RETROSPOT SUGAR JAM BOWL,2,2011-06-12 13:17:00,2.55,16938.0,United Kingdom
552193,21981,PACK OF 12 WOODLAND TISSUES ,24,2011-05-06 14:22:00,0.29,15114.0,United Kingdom
551014,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,2011-04-26 11:04:00,1.25,13209.0,United Kingdom
540098,22276,WASH BAG VINTAGE ROSE PAISLEY,1,2011-01-04 15:50:00,2.55,16241.0,United Kingdom
570858,22629,SPACEBOY LUNCH BOX ,1,2011-10-12 15:15:00,1.95,,United Kingdom
575087,85099F,JUMBO BAG STRAWBERRY,1,2011-11-08 13:57:00,2.08,16549.0,United Kingdom
567462,21524,DOORMAT SPOTTY HOME SWEET HOME,1,2011-09-20 12:35:00,8.25,14446.0,United Kingdom
578255,23345, DOLLY GIRL BEAKER,3,2011-11-23 12:58:00,1.25,14675.0,United Kingdom
553178,23145,ZINC T-LIGHT HOLDER STAR LARGE,3,2011-05-15 11:29:00,0.95,17302.0,United Kingdom
553913,85066,CREAM SWEETHEART MINI CHEST,4,2011-05-19 19:47:00,12.75,18109.0,United Kingdom
563613,22161,HEART DECORATION RUSTIC HANGING ,24,2011-08-18 08:49:00,0.19,12688.0,Israel
558765,21693,SMALL HAMMERED SILVER CANDLEPOT ,6,2011-07-03 13:12:00,2.95,17312.0,United Kingdom
551727,21627,ELEPHANT CARNIVAL POUFFE,1,2011-05-04 08:40:00,14.95,14245.0,United Kingdom
539647,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1,2010-12-20 16:08:00,1.95,15460.0,United Kingdom
580958,23500,KEY RING BASEBALL BOOT ASSORTED ,1,2011-12-06 14:30:00,1.25,17266.0,United Kingdom
544399,22381,TOY TIDY PINK POLKADOT,10,2011-02-18 12:28:00,2.1,12594.0,Italy
568531,22985,WRAP BILLBOARD FONTS DESIGN,25,2011-09-27 13:49:00,0.42,16713.0,United Kingdom
576447,22138,BAKING SET 9 PIECE RETROSPOT ,6,2011-11-15 11:30:00,4.95,13949.0,United Kingdom
551775,22548,HEADS AND TAILS SPORTING FUN,12,2011-05-04 11:21:00,1.25,12886.0,United Kingdom
560368,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,1,2011-07-18 12:25:00,3.29,17841.0,United Kingdom
580527,22228,BUNNY WOODEN PAINTED WITH BIRD ,2,2011-12-04 15:19:00,0.39,13736.0,United Kingdom
546563,22911,PAPER CHAIN KIT LONDON,6,2011-03-15 10:49:00,2.95,15047.0,United Kingdom
575718,23403,LETTER HOLDER HOME SWEET HOME,1,2011-11-10 18:04:00,3.75,16907.0,United Kingdom
541205,22356,CHARLOTTE BAG PINK POLKADOT,1,2011-01-14 12:23:00,0.85,18106.0,United Kingdom
558709,21993,FLORAL FOLK STATIONERY SET,3,2011-07-01 13:02:00,1.25,17338.0,United Kingdom
571498,23227,FILIGREE HEART BUTTERFLY WHITE ,1,2011-10-17 15:06:00,1.25,17841.0,United Kingdom
565595,23207,LUNCH BAG ALPHABET DESIGN,10,2011-09-05 14:13:00,1.65,13192.0,United Kingdom
549317,22427,ENAMEL FLOWER JUG CREAM,3,2011-04-08 09:58:00,5.95,15109.0,United Kingdom
547069,22210,WOOD STAMP SET BEST WISHES,1,2011-03-20 13:52:00,1.65,16710.0,United Kingdom
576053,22951,60 CAKE CASES DOLLY GIRL DESIGN,1,2011-11-13 14:53:00,0.55,16726.0,United Kingdom
577504,84596G,SMALL CHOCOLATES PINK BOWL,8,2011-11-20 12:36:00,0.42,14159.0,United Kingdom
548358,85020,ROUND PINK HEART MIRROR,6,2011-03-30 15:29:00,2.1,15832.0,United Kingdom
575919,22671,FRENCH LAUNDRY SIGN BLUE METAL,4,2011-11-11 17:00:00,1.65,15311.0,United Kingdom
575039,23343,JUMBO BAG VINTAGE CHRISTMAS ,1,2011-11-08 11:53:00,2.08,15005.0,United Kingdom
576688,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2011-11-16 12:16:00,2.95,16717.0,United Kingdom
557480,21931,JUMBO STORAGE BAG SUKI,3,2011-06-20 14:10:00,4.13,,United Kingdom
571679,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2,2011-10-18 13:41:00,0.85,14159.0,United Kingdom
544647,22921,HERB MARKER CHIVES ,20,2011-02-22 12:13:00,0.65,14060.0,United Kingdom
541302,21361,LOVE LARGE WOOD LETTERS ,1,2011-01-17 14:18:00,12.75,13769.0,United Kingdom
548983,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-04-05 12:30:00,2.95,16906.0,United Kingdom
552270,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,2011-05-08 11:56:00,1.25,16928.0,United Kingdom
571105,22362,GLASS JAR PEACOCK BATH SALTS,2,2011-10-13 16:01:00,2.95,17614.0,United Kingdom
577071,21262,WHITE GOOSE FEATHER CHRISTMAS TREE ,1,2011-11-17 14:56:00,2.95,13969.0,United Kingdom
555558,22380,TOY TIDY SPACEBOY  ,2,2011-06-05 14:06:00,2.1,14159.0,United Kingdom
543734,22917,HERB MARKER ROSEMARY,12,2011-02-11 12:22:00,0.65,17512.0,United Kingdom
C549824,22698,PINK REGENCY TEACUP AND SAUCER,-1,2011-04-12 12:43:00,2.95,15189.0,United Kingdom
564543,23313,VINTAGE CHRISTMAS BUNTING,5,2011-08-25 15:49:00,4.95,16818.0,United Kingdom
572882,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,2011-10-26 13:36:00,1.65,18226.0,United Kingdom
561647,23296,SET OF 6 TEA TIME BAKING CASES,16,2011-07-28 15:20:00,1.25,13340.0,United Kingdom
578074,23393,HOME SWEET HOME CUSHION COVER ,2,2011-11-22 16:06:00,3.75,17590.0,United Kingdom
549129,20973,12 PENCIL SMALL TUBE WOODLAND,6,2011-04-06 14:53:00,0.65,17042.0,United Kingdom
574950,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,1,2011-11-08 09:29:00,6.63,,United Kingdom
560018,21094,SET/6 RED SPOTTY PAPER PLATES,8,2011-07-14 12:52:00,0.85,15987.0,United Kingdom
558540,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2011-06-30 12:15:00,1.25,17706.0,United Kingdom
578335,22619,SET OF 6 SOLDIER SKITTLES,4,2011-11-24 09:06:00,3.75,17481.0,United Kingdom
568193,23301,GARDENERS KNEELING PAD KEEP CALM ,7,2011-09-25 14:37:00,1.65,17107.0,United Kingdom
564724,21504,SKULLS GREETING CARD,12,2011-08-28 12:16:00,0.42,15555.0,United Kingdom
550946,POST,POSTAGE,1,2011-04-21 15:52:00,18.0,12708.0,Germany
540469,84898F,YELLOW FLOWERS FELT HANDBAG KIT,4,2011-01-07 14:04:00,2.1,12484.0,Spain
577035,22992,REVOLVER WOODEN RULER ,12,2011-11-17 13:21:00,1.95,15187.0,United Kingdom
571940,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,12,2011-10-20 09:57:00,0.83,15301.0,United Kingdom
537128,84898F,YELLOW FLOWERS FELT HANDBAG KIT,1,2010-12-05 12:15:00,2.1,12841.0,United Kingdom
543129,85194S,HANGING SPRING FLOWER EGG SMALL,24,2011-02-03 15:02:00,0.65,14540.0,United Kingdom
556959,21844,RED RETROSPOT MUG,6,2011-06-16 09:17:00,2.95,16739.0,United Kingdom
549577,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,2011-04-11 08:16:00,1.25,14286.0,United Kingdom
547898,22383,LUNCH BAG SUKI DESIGN ,20,2011-03-28 11:49:00,1.65,16523.0,United Kingdom
569842,23404,HOME SWEET HOME BLACKBOARD,36,2011-10-06 13:28:00,4.15,13426.0,United Kingdom
575886,21931,JUMBO STORAGE BAG SUKI,3,2011-11-11 13:57:00,2.08,12517.0,Germany
581166,23239,SET OF 4 KNICK KNACK TINS POPPIES,2,2011-12-07 14:43:00,1.65,15525.0,United Kingdom
573414,22766,PHOTO FRAME CORNICE,1,2011-10-30 16:15:00,2.95,16877.0,United Kingdom
544663,21929,JUMBO BAG PINK VINTAGE PAISLEY,20,2011-02-22 14:43:00,1.95,18188.0,United Kingdom
570499,21331,MOROCCAN BEATEN METAL DISH LARGE,1,2011-10-11 09:19:00,12.75,12772.0,Portugal
559707,22059,CERAMIC STRAWBERRY DESIGN MUG,12,2011-07-12 10:04:00,1.49,12358.0,Austria
C560855,21872,GLAMOROUS  MUG,-4,2011-07-21 13:00:00,1.25,14410.0,United Kingdom
549012,20974,12 PENCILS SMALL TUBE SKULL,24,2011-04-05 14:51:00,0.65,16394.0,United Kingdom
558542,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,4,2011-06-30 12:23:00,2.95,13593.0,United Kingdom
548737,22383,LUNCH BAG SUKI DESIGN ,10,2011-04-04 11:18:00,1.65,12682.0,France
566270,23343,JUMBO BAG VINTAGE CHRISTMAS ,20,2011-09-11 13:40:00,2.08,16523.0,United Kingdom
548621,84828,JUNGLE POPSICLES ICE LOLLY MOULDS,2,2011-04-01 11:54:00,1.25,16960.0,United Kingdom
574881,22310,IVORY KNITTED MUG COSY ,6,2011-11-07 13:30:00,1.65,12832.0,United Kingdom
556803,84997b,CHILDRENS CUTLERY RETROSPOT RED ,1,2011-06-14 14:57:00,8.29,,United Kingdom
554815,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2011-05-26 13:46:00,1.79,13798.0,United Kingdom
551872,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2011-05-04 17:19:00,1.25,12955.0,United Kingdom
569846,21912,VINTAGE SNAKES & LADDERS,4,2011-10-06 13:42:00,3.75,13422.0,United Kingdom
555829,22433,WATERING CAN GREEN DINOSAUR,12,2011-06-07 12:18:00,1.95,13330.0,United Kingdom
571217,23237,SET OF 4 KNICK KNACK TINS LEAF,6,2011-10-14 13:24:00,4.15,17451.0,United Kingdom
565209,22961,JAM MAKING SET PRINTED,2,2011-09-01 16:59:00,1.45,15910.0,United Kingdom
545697,22986,GINGHAM ROSE WRAP,25,2011-03-06 14:38:00,0.42,14504.0,United Kingdom
544349,22424,ENAMEL BREAD BIN CREAM,3,2011-02-18 10:03:00,12.75,16713.0,United Kingdom
538517,22568,FELTCRAFT CUSHION OWL,1,2010-12-12 16:05:00,3.75,17618.0,United Kingdom
575519,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,12,2011-11-10 10:53:00,0.83,12682.0,France
571082,21068,VINTAGE BILLBOARD LOVE/HATE MUG,2,2011-10-13 15:25:00,2.46,,United Kingdom
C572334,23319,BOX OF 6 MINI 50'S CRACKERS,-48,2011-10-24 10:25:00,2.08,14607.0,United Kingdom
559052,21633,SUNFLOWER DECORATIVE PARASOL,1,2011-07-05 16:53:00,8.29,,United Kingdom
580553,21243,PINK POLKADOT PLATE ,16,2011-12-05 10:14:00,1.69,12646.0,USA
541799,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,2011-01-21 14:21:00,4.95,12970.0,United Kingdom
575848,23570,TRADITIONAL PICK UP STICKS GAME ,3,2011-11-11 12:10:00,1.25,14178.0,United Kingdom
557231,21327,SKULLS WRITING SET ,2,2011-06-17 14:09:00,2.46,,United Kingdom
574699,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2011-11-06 13:53:00,2.95,13040.0,United Kingdom
577031,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-11-17 13:00:00,2.08,15298.0,United Kingdom
571676,21889,WOODEN BOX OF DOMINOES,1,2011-10-18 13:29:00,1.25,16910.0,United Kingdom
563909,22470,HEART OF WICKER LARGE,3,2011-08-21 12:36:00,2.95,15701.0,United Kingdom
572227,23531,WALL ART BIG LOVE ,1,2011-10-21 14:01:00,6.95,15051.0,United Kingdom
578098,23344,JUMBO BAG 50'S CHRISTMAS ,1,2011-11-22 17:32:00,2.08,12936.0,United Kingdom
538879,22585,PACK OF 6 BIRDY GIFT TAGS,12,2010-12-14 15:50:00,1.25,15392.0,United Kingdom
560754,72232,FENG SHUI PILLAR CANDLE,24,2011-07-20 15:56:00,0.19,17754.0,United Kingdom
580504,23079,TOADSTOOL BEDSIDE LIGHT ,1,2011-12-04 13:32:00,8.95,17936.0,United Kingdom
571046,17136A,BLUE STONES ON WIRE FOR CANDLE,4,2011-10-13 13:35:00,0.08,18096.0,United Kingdom
570664,21819,GLITTER CHRISTMAS STAR ,10,2011-10-11 14:21:00,0.39,16362.0,United Kingdom
578065,22598,CHRISTMAS MUSICAL ZINC TREE,1,2011-11-22 15:41:00,0.83,,United Kingdom
559499,21243,PINK  POLKADOT PLATE ,1,2011-07-08 14:22:00,3.29,,United Kingdom
540261,22469,HEART OF WICKER SMALL,48,2011-01-06 09:57:00,1.45,13089.0,United Kingdom
573390,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2011-10-30 14:53:00,6.95,17213.0,United Kingdom
571433,22625,RED KITCHEN SCALES,2,2011-10-17 13:19:00,8.5,13015.0,United Kingdom
541012,21976,PACK OF 60 MUSHROOM CAKE CASES,6,2011-01-13 11:48:00,0.55,17019.0,United Kingdom
566427,23144,ZINC T-LIGHT HOLDER STARS SMALL,6,2011-09-12 14:24:00,0.83,17433.0,United Kingdom
546686,21481,FAWN BLUE HOT WATER BOTTLE,6,2011-03-16 09:52:00,2.95,14636.0,United Kingdom
546391,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2011-03-11 14:06:00,2.1,17800.0,United Kingdom
542371,POST,POSTAGE,2,2011-01-27 13:29:00,18.0,12468.0,Germany
580367,20728,LUNCH BAG CARS BLUE,1,2011-12-02 16:39:00,4.13,,United Kingdom
573666,23372,SET 36 COLOUR PENCILS DOLLY GIRL,2,2011-10-31 16:24:00,1.25,15977.0,United Kingdom
579167,22649,STRAWBERRY FAIRY CAKE TEAPOT,1,2011-11-28 14:06:00,4.95,16800.0,United Kingdom
581476,22998,TRAVEL CARD WALLET KEEP CALM,72,2011-12-09 08:48:00,0.42,12433.0,Norway
572550,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,2,2011-10-24 17:06:00,7.46,,United Kingdom
549561,47566,PARTY BUNTING,3,2011-04-10 13:36:00,4.95,13570.0,United Kingdom
566272,23094,LE GRAND TRAY CHIC SET,1,2011-09-11 13:51:00,12.5,14487.0,United Kingdom
574287,22597,MUSICAL ZINC HEART DECORATION ,6,2011-11-03 15:09:00,0.29,14723.0,United Kingdom
